FID,OBJECTID,XX,YY
294,0,117.212649162000005,34.273947491999998
295,0,117.197700827999995,34.264060664900001
296,0,117.198208847999993,34.262798121899998
297,0,117.198138667999999,34.262150230400003
298,0,117.219242648000005,34.254812963500001
299,0,117.219311677999997,34.254133945800000
300,0,117.220415732999996,34.253665340200001
301,0,117.220680780999999,34.254403408400002
302,0,117.220602239000002,34.255029048600001
303,0,117.221841647999995,34.255067148300000
304,0,117.221744149000003,34.254236877200000
305,0,117.222704820999994,34.254048656000002
306,0,117.198602679000004,34.249199615599998
307,0,117.199702853000005,34.250022219000002
308,0,117.199647893000005,34.250361977300003
309,0,117.198461284999993,34.250236057000002
310,0,117.199091910999996,34.250709952500003
311,0,117.227857237999999,34.212271680299999
312,0,117.228443424000005,34.211893121300001
313,0,117.229570878999994,34.211802843599997
314,0,117.263631477999994,34.250183558800003
315,0,117.262197064000006,34.249336621700003
316,0,117.254015871999997,34.258227078799997
317,0,117.254372511000000,34.257530529599997
318,0,117.254682944999999,34.255992259999999
319,0,117.230132914999999,34.211674477300001
320,0,117.229362813999998,34.211503124300002
321,0,117.230019741999996,34.211232205800002
322,0,117.229789869000001,34.210559794900000
323,0,117.230603355000000,34.210542080000003
324,0,117.230900598000005,34.209623422100002
325,0,117.231234291999996,34.208829671099998
326,0,117.231462231999998,34.208614095100003
327,0,117.229557123000006,34.242043184200000
328,0,117.230301526999995,34.241738336600001
329,0,117.230852491999997,34.241269657300002
330,0,117.232167896999997,34.241300919200000
331,0,117.231624069000006,34.242061439399997
332,0,117.234112077999995,34.241631491500002
333,0,117.233995179999994,34.240837894999999
334,0,117.235405172000000,34.240715363299998
335,0,117.235582448000002,34.241600092399999
336,0,117.236964959999995,34.241301933300001
337,0,117.236931538999997,34.240677987200002
338,0,117.239068058000001,34.241545059899998
339,0,117.239120956999997,34.240911246000003
340,0,117.239841841000000,34.240564004500001
341,0,117.240592058999994,34.240858352399997
342,0,117.240770732000001,34.241608466599999
