FID,数量,X,Y
324,4,117.188511671000001,34.266660399199999
325,4,117.188535934000001,34.268280522700003
326,0,117.189057238000004,34.269088494999998
327,4,117.189520661000003,34.268716067900002
328,4,117.188389506999997,34.269655805699998
329,2,117.186547064999999,34.270116465299999
330,4,117.186953359000000,34.270655640199998
331,4,117.187756114999999,34.271620989399999
332,4,117.188438662999999,34.270998455799997
333,4,117.188608142000007,34.270636288500000
334,0,117.180099791000004,34.276784281499999
335,0,117.180739287999998,34.276410699700001
336,0,117.181120598999996,34.276808716500000
337,0,117.180945014000002,34.277012818800003
338,0,117.181475403999997,34.277378399600003
339,0,117.182004383999995,34.277087575499998
340,0,117.180296506000005,34.277520902600003
341,0,117.180379919000003,34.277023705200001
342,0,117.234053213999999,34.293073053599997
343,0,117.233305466999994,34.291782186699997
344,0,117.233026574999997,34.292930683500003
345,0,117.232628661999996,34.293033859200001
346,0,117.232076569000000,34.292153632000002
347,0,117.231427088999993,34.291845867200003
348,0,117.230408205000003,34.292693722599999
349,0,117.231091280000001,34.292745966399998
350,0,117.231713158000005,34.291302363600003
351,0,117.225915896999993,34.291470171699999
352,0,117.223578898000000,34.290643027000002
353,0,117.226693823000005,34.291065680599999
354,0,117.225165122000007,34.290349534599997
355,0,117.225906664999997,34.290734795299997
356,0,117.227809162000000,34.290500047199998
357,0,117.226892230000004,34.290473624900002
358,0,117.227169089000000,34.289932560200000
359,0,117.227409588000000,34.289574276400003
360,0,117.227747139000002,34.289060395600004
361,0,117.227158557999999,34.287678610000000
362,0,117.226921605000001,34.288152269900003
363,0,117.226305996999997,34.287804789200003
364,0,117.227309371000004,34.286887048899999
365,0,117.226263501000005,34.286173077100003
366,0,117.227034110000005,34.285893908299997
367,0,117.227517714000001,34.285040708799997
368,0,117.228390696000005,34.285096588899997
369,0,117.227729006000004,34.285888206899997
370,0,117.228822610999998,34.285499091100000
371,0,117.220599492000005,34.285743740800001
372,0,117.219515225999999,34.285803593099999
373,0,117.219755251999999,34.286660285700002
374,0,117.219094189000003,34.286714990699998
375,0,117.219828199999995,34.287590160000001
376,0,117.220613599999993,34.288610247900003
377,0,117.220062483999996,34.288359870299999
378,0,117.222460583000000,34.288472802599998
379,0,117.221626763000003,34.288509588700002
380,0,117.218507595000005,34.288310518199999
381,0,117.221190648000004,34.291521902100001
382,0,117.222427689000000,34.292146388299997
383,0,117.221885017999995,34.292297215399998
384,0,117.212729674000002,34.287273331100003
385,0,117.212225059999994,34.287043408400002
386,0,117.212073461000003,34.287296445000003
387,0,117.213319349000002,34.287711370499999
388,0,117.212625764999999,34.288186870700002
389,0,117.211291255999996,34.288076546500001
390,0,117.210228411000003,34.287819485699998
391,0,117.209887667000004,34.287254858399997
392,0,117.210817977999994,34.286967277199999
393,0,117.209768685000000,34.286471905299997
394,0,117.210136280000000,34.288140109600000
395,0,117.209263071999999,34.287832483300001
396,0,117.214754146000004,34.293468186500000
397,0,117.213778180000006,34.293748602800001
398,0,117.214192787000002,34.292524138799998
399,0,117.213499370999997,34.292728688200000
400,0,117.213042943999994,34.293329006800001
401,0,117.212147815999998,34.292598555200001
402,0,117.211992502000001,34.291617764700000
403,0,117.211651678999999,34.290934840799999
404,0,117.213114984000001,34.292120993200001
405,0,117.207383031999996,34.286128038100003
406,0,117.207039825999999,34.285510119000001
407,0,117.199974740000002,34.285331048300002
408,0,117.199992288000004,34.284832065400003
409,0,117.200819711999998,34.286476198599999
410,0,117.202192663999995,34.291133345200002
411,0,117.201837388000001,34.290632839700002
412,4,117.191524869999995,34.306956298899998
413,4,117.190829686000001,34.306835671700000
414,4,117.191614342999998,34.306537231100002
415,4,117.191551638999996,34.305918852300003
416,4,117.191405852000003,34.305274953300000
417,4,117.189819713000006,34.304960729800001
418,4,117.189848427000001,34.305275090599999
419,4,117.189841197999996,34.305960618599997
420,4,117.189887239000001,34.306358586899997
421,4,117.190378976000005,34.306743361400002
422,0,117.198322289999993,34.311507755400001
423,0,117.198352846999995,34.310438868200002
424,0,117.196946578999999,34.310396677000000
425,0,117.198165080999999,34.309974219300003
426,0,117.198317856000003,34.309131925000003
427,0,117.197134567000006,34.309147573499999
428,0,117.197143960000005,34.308246914700000
429,0,117.195721184000007,34.308258736600003
430,0,117.195347671999997,34.309368073300000
431,0,117.199422755000001,34.309782947899997
432,0,117.199830883000004,34.309087717499999
433,0,117.199944497999994,34.308513944100000
434,0,117.199057014999994,34.308174595099999
435,0,117.196557431000002,34.309805964799999
436,0,117.195699783999999,34.306996061100001
437,0,117.196929613999998,34.306936359200002
438,0,117.194571874000005,34.306630116199997
439,0,117.194447460000006,34.306005529300002
440,0,117.194655725999993,34.305112024000003
441,0,117.195396110000004,34.304983366400002
442,0,117.196140279999995,34.304967281099998
443,0,117.196323284000002,34.305918984300000
444,0,117.196940721999994,34.306019732899998
445,0,117.198165760999998,34.306584370000003
446,0,117.198212468999998,34.305889150900001
447,0,117.197741570000005,34.304889543700000
448,0,117.197042449999998,34.300707132699998
449,0,117.198000793999995,34.301190929100002
450,0,117.196604792000002,34.301352217400002
451,0,117.197305037000007,34.301891097300000
452,0,117.196834480999996,34.302219947899999
453,0,117.194424738999999,34.302970098199999
454,0,117.193643852999998,34.302515187300003
455,0,117.193450222999999,34.301817389599996
456,0,117.195033610999999,34.302305296800000
457,0,117.194271780999998,34.301058174100000
458,0,117.195216223000003,34.301629498099999
459,0,117.193189215999993,34.300106017300003
460,0,117.193142420000001,34.299622769700001
461,0,117.193892758000004,34.300089968300000
462,0,117.194513853000004,34.298963808400003
463,0,117.194996820000000,34.299996635900001
464,0,117.196102445999998,34.299498209600003
465,0,117.195572795000004,34.298631004299999
466,0,117.195931048000006,34.298807508000003
467,0,117.192437748000003,34.299182110200000
468,0,117.193233856000006,34.298266580499998
469,0,117.194230664000003,34.298200791500001
470,0,117.195081826000006,34.298307734600002
471,0,117.198569741000000,34.299152845700000
472,0,117.199204007000006,34.299127916800003
473,0,117.198762540000004,34.298363825400003
474,0,117.197884047000002,34.298085853700002
475,0,117.197822325000004,34.297610524299998
476,0,117.199086751999999,34.297596997600003
477,0,117.200163457000002,34.299052960399997
478,0,117.200839290999994,34.299019016800003
479,0,117.200410547999994,34.298560670900002
480,0,117.200404395999996,34.298086284199996
481,0,117.200299404999996,34.297674700599998
482,0,117.200199541999993,34.297547073799997
483,0,117.200048382000006,34.302401826199997
484,0,117.200959552000000,34.302216512299999
485,0,117.200440682000007,34.302241807000001
486,0,117.200123353999999,34.302138197900000
487,0,117.199825691000001,34.301842364000002
488,0,117.200241817000006,34.301736934700003
489,0,117.201001512000005,34.301640483900002
490,0,117.201508378000000,34.301678473700001
491,0,117.201526755000003,34.302016115299999
492,0,117.201785682999997,34.302243204000000
493,0,117.199930355999996,34.301428255700003
494,0,117.199628919999995,34.301039922400001
495,0,117.199533334999998,34.300586412000001
496,0,117.200075427000002,34.299801401800003
497,0,117.201161475999996,34.300954411299998
498,0,117.201111572000002,34.300352164200000
499,0,117.200878266999993,34.299755515900003
500,0,117.205648538000005,34.299513225299997
501,0,117.205691106000003,34.298976304999997
502,0,117.205229361999997,34.298868478400003
503,0,117.206812882999998,34.296155897399998
504,0,117.207455999000004,34.295942539099997
505,0,117.207135919999999,34.296864023799998
506,0,117.135883132000004,34.278567851699997
507,0,117.134693654000003,34.278117408699998
508,0,117.136029989999997,34.277908565700002
509,0,117.135317162000007,34.277409698900001
510,0,117.140642572999994,34.278407789100001
511,0,117.139927913999998,34.278931202400003
512,0,117.139314537000004,34.279359455900000
513,0,117.139623959000005,34.280944285799997
514,0,117.136951216000000,34.280768817800002
515,0,117.137683615000000,34.280368962099999
516,0,117.136988614000003,34.280096683499998
517,0,117.137906033999997,34.279665225000002
518,0,117.137470415999999,34.279080200800003
519,0,117.137989457000003,34.278934215299998
520,0,117.137423904000002,34.278083988200002
521,0,117.137934395000002,34.278381352499999
522,0,117.163676202999994,34.276730679400004
523,0,117.164401204000001,34.276516921499997
524,0,117.165113962999996,34.276872476100003
525,0,117.163409099000006,34.276107975199999
526,0,117.164133152999995,34.275577402400003
527,0,117.165474040000007,34.275995794300002
528,0,117.163132293999993,34.277211846999997
529,0,117.166594336000003,34.275993938399999
530,0,117.166690528000004,34.275491342700001
531,0,117.168019334999997,34.276419860600001
532,0,117.167891897000004,34.275700750500000
533,0,117.169338437999997,34.274911442799997
534,0,117.169480824999994,34.276185997799999
535,0,117.169090069000006,34.277675985899997
536,0,117.169193999000001,34.277461962399997
537,0,117.167855415999995,34.277150587100003
538,0,117.167098990000000,34.277700978299997
539,0,117.168267486999994,34.278316585699997
540,0,117.170643276999996,34.275000917699998
541,0,117.170648224000004,34.274570678600000
542,0,117.170545055000005,34.274775769500003
543,0,117.171730327000006,34.276135009800001
544,0,117.172165269999994,34.275807279799999
545,0,117.171986421000000,34.275018253600003
546,0,117.172003344000004,34.274646531400002
547,0,117.172760249999996,34.275337949300003
548,0,117.173674398000003,34.275385956999997
549,0,117.172714693000003,34.274940684000001
550,0,117.174339250000003,34.274917105000000
551,0,117.175030950999997,34.274729163700002
552,0,117.175369748999998,34.274419414400001
553,0,117.175662344000003,34.274192688200003
554,0,117.176053753000005,34.274110809500002
555,0,117.176006232999995,34.276151396899998
556,0,117.176034658999995,34.275673554199997
557,0,117.175766183999997,34.275673939500003
558,0,117.178621856000007,34.277694062599998
559,0,117.178194843000000,34.277457343000002
560,0,117.179082700999999,34.277477477200001
561,0,117.179139801999995,34.276774695800000
562,0,117.177943819999996,34.276229706700001
563,0,117.178816415000000,34.275713047200000
564,0,117.177571477000001,34.275357025700004
565,0,117.177350693999998,34.275661429400003
566,0,117.174951190000002,34.289392612100002
567,0,117.175804210999999,34.288496693900001
568,0,117.175449135999997,34.287905007699997
569,0,117.175614863999996,34.287419405000001
570,0,117.175756241000002,34.286408708700002
571,0,117.175617752999997,34.286924577100002
572,0,117.172155269000001,34.290502847500001
573,0,117.171614332999994,34.289396133899999
574,0,117.166728293999995,34.294918135099998
575,0,117.166351880999997,34.295484871299998
576,0,117.168124825000007,34.293558912500004
577,0,117.166871047000001,34.292607778399997
578,0,117.163911295000005,34.290074230000002
579,0,117.164121953999995,34.289525051399998
580,0,117.193293210999997,34.269313162300001
581,0,117.193343642000002,34.269735946300003
582,0,117.194164896999993,34.270298373800003
583,0,117.194306710000006,34.270535441900002
584,0,117.193302434000003,34.270598021100000
585,0,117.194068850999997,34.270805355999997
586,0,117.193144610999994,34.270893032700002
587,0,117.194143787000002,34.271268497500003
588,0,117.194187423000002,34.271457320099998
589,0,117.194351204000000,34.271766046000003
590,0,117.193887222000001,34.271663816400000
591,0,117.192749913000000,34.271503264700002
592,0,117.195041834999998,34.271765384299997
593,0,117.194765185999998,34.271464926900002
594,0,117.194836342000002,34.270924519600001
595,0,117.194552059000003,34.270315566100003
596,0,117.161994467000000,34.288371512099999
597,0,117.161456453000000,34.288228754099997
598,0,117.158688244000004,34.288672453200000
599,0,117.151780583999994,34.289082152699997
600,0,117.151071673999994,34.289864493200000
601,0,117.151188548999997,34.290875491599998
602,0,117.152791461999996,34.290944441299999
603,0,117.152959515999996,34.290367091299998
604,0,117.154204687000004,34.289848622199997
605,0,117.154833710000005,34.290580663400000
606,0,117.154322531000005,34.291137142799997
607,0,117.155217973999996,34.291618019799998
608,0,117.151335857000007,34.287687776799999
609,0,117.152790440000004,34.287747131300002
610,0,117.152668442000007,34.288463940900002
611,0,117.154954244999999,34.288396946100001
612,0,117.155002898999996,34.289443116699999
613,0,117.140834698000006,34.322439692200000
614,0,117.141141270999995,34.320599618999999
615,0,117.141706772000006,34.321428859599997
616,0,117.141615525000006,34.323217251999999
617,0,117.142386431999995,34.323488266100000
618,0,117.142872299999993,34.322908675199997
619,0,117.142884629999998,34.322288839999999
620,0,117.143218192999996,34.321300485599998
621,0,117.147030170999997,34.328839189999997
622,0,117.146174418000001,34.328278726400001
623,0,117.146283061000005,34.327831435500002
624,0,117.146766581999998,34.327745467699998
625,0,117.146942709000001,34.327087473100001
626,0,117.147009519999997,34.326449506899998
627,0,117.146758254000005,34.326233472299997
628,0,117.146186685000004,34.326851881200000
629,0,117.145859383000001,34.327403066199999
630,0,117.150521642000001,34.326624332700000
631,0,117.150585156000005,34.326069891800003
632,0,117.149880428000003,34.326163161799997
633,0,117.150515565000006,34.325573391299997
634,0,117.150167921000005,34.325053314800002
635,0,117.150907426000003,34.324906273800003
636,0,117.151073362000005,34.324310085699999
637,0,117.146991701000005,34.325669916499997
638,0,117.147770709000000,34.323680036600003
639,0,117.147038565000003,34.325266693899998
640,0,117.147363393999996,34.324763925399999
641,0,117.147050612000001,34.324110037899999
642,0,117.147009466000000,34.323425671800003
643,0,117.146092448000005,34.325089730199998
644,0,117.145092249000001,34.321477931899999
645,0,117.145421721000005,34.320822952699999
646,0,117.146098387999999,34.321818533900000
647,0,117.146634294999998,34.321578039599999
648,0,117.146830910000006,34.321961620300002
649,0,117.148270632999996,34.322537949900003
650,0,117.147941297000003,34.321649993599998
651,0,117.149278390999996,34.305505508700001
652,0,117.150472257000004,34.306090319100001
653,0,117.150607078999997,34.307098256099998
654,0,117.148915685999995,34.306763201899997
655,0,117.152076502000000,34.310044295799997
656,0,117.152589950999996,34.309109734600000
657,0,117.151501788000004,34.308747316300000
658,0,117.152188628999994,34.307883323900001
659,0,117.152454461999994,34.306978970800003
660,0,117.151861948000004,34.306561727000002
661,0,117.152897952999993,34.306274725300000
662,0,117.151001524999998,34.304732597200001
663,0,117.150214836000004,34.304396766799996
664,0,117.150753989999998,34.303103176000000
665,0,117.151049173000004,34.302501663999998
666,0,117.152578629000004,34.303034730000000
667,0,117.152026152000005,34.303690769799999
668,0,117.151874836999994,34.304200890799997
669,0,117.152718761000003,34.305339084600000
670,0,117.153376117999997,34.305544566499997
671,0,117.152588649999998,34.304603449100000
672,0,117.153002572999995,34.303908669199998
673,0,117.153556343000005,34.304702088500001
674,0,117.154570888999999,34.305799381299998
675,0,117.148773771999998,34.303452840900000
676,0,117.149078189999997,34.302746252500000
677,0,117.149150042000002,34.302224381499997
678,0,117.148184243000003,34.302863185200003
679,0,117.148217238000001,34.302176264600000
680,0,117.147188252000007,34.302284285200003
681,0,117.146964613999998,34.302810582299998
682,0,117.147675157999998,34.301810112799998
683,0,117.145280024000002,34.302404867699998
684,0,117.145012483000002,34.301928148099996
685,0,117.145664878999995,34.301576274299997
686,0,117.146344016000000,34.301271290099997
687,0,117.146469948000004,34.301893577700000
688,0,117.146040163999999,34.302266561200000
689,0,117.146132752000000,34.302870036999998
690,0,117.144937456999997,34.300804167899997
691,0,117.145021708000002,34.300094477000002
692,0,117.145914074999993,34.299577143500002
693,0,117.146755618000000,34.299587587200001
694,0,117.146160447000000,34.300444103799997
695,0,117.147372439999998,34.300808503699997
696,0,117.148628935999994,34.301189655700000
697,0,117.149752289000006,34.301407578700001
